Networking,International travel and experience,Workshops,Field excursions during conferences,Special sessions,Service opportunities,Opportunity to present your science,Presentations on science in your field,Providing travel grants to attend meetings,Providing competitive research and recognition awards,FWS article access,Web resources
Very important,Don't know/Unsure,Somewhat important,Somewhat important,Very important,Somewhat important,Extremely important,Extremely important,Important,Very important,Very important,Somewhat important
Somewhat important,Extremely important,Important,Important,Important,NA,Extremely important,Very important,Important,Important,Important,Very important
Very important,Not important,Important,Somewhat important,Important,Important,Very important,Important,Very important,Important,Important,Somewhat important
Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Somewhat important
Extremely important,Somewhat important,Very important,Somewhat important,Extremely important,Very important,Extremely important,Very important,Important,Very important,Important,Important
Very important,Don't know/Unsure,Very important,Somewhat important,Important,Important,Extremely important,Extremely important,Extremely important,Important,Very important,Important
Extremely important,Don't know/Unsure,Extremely important,Don't know/Unsure,Extremely important,Don't know/Unsure,Extremely important,Extremely important,Extremely important,Extremely important,Don't know/Unsure,Somewhat important
Extremely important,Don't know/Unsure,Important,Important,Very important,Extremely important,Extremely important,Extremely important,Somewhat important,Somewhat important,Extremely important,Very important
Extremely important,Not important,Important,Somewhat important,Very important,Very important,Very important,Important,Somewhat important,Somewhat important,Somewhat important,Important
Extremely important,Somewhat important,Extremely important,Important,Very important,Not important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Important
Extremely important,Important,Very important,Very important,Important,Important,Extremely important,Very important,Extremely important,Important,Very important,Important
Important,Don't know/Unsure,Very important,Important,Important,Important,Very important,Very important,Important,Somewhat important,Very important,Important
Extremely important,Not important,Very important,Somewhat important,Somewhat important,Extremely important,Important,Important,Very important,Very important,Very important,Important
Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Extremely important,Extremely important,Somewhat important,Somewhat important
Extremely important,Important,Important,Somewhat important,Important,Important,Very important,Very important,Very important,Not important,Somewhat important,Somewhat important
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Very important,Important,Extremely important,Extremely important
Extremely important,Not important,Extremely important,Not important,Important,Somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Important
Extremely important,Not important,Very important,Very important,Important,Important,Not important,Extremely important,Important,Important,Important,Extremely important
Extremely important,Somewhat important,Important,Somewhat important,Very important,Important,Extremely important,Extremely important,Very important,Very important,Extremely important,Very important
Extremely important,Not important,NA,Not important,Extremely important,Extremely important,Extremely important,Extremely important,Important,Very important,Not important,Very important
Extremely important,Very important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Extremely important
Very important,Important,Important,Somewhat important,Very important,Important,Extremely important,Extremely important,Very important,Extremely important,Very important,Important
Extremely important,Very important,Very important,Important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Important
Extremely important,Very important,Extremely important,Important,Somewhat important,Important,Extremely important,Extremely important,Extremely important,Somewhat important,Extremely important,Very important
Extremely important,Not important,Extremely important,Somewhat important,Important,Very important,Extremely important,Extremely important,Very important,Very important,Important,Very important
Extremely important,Important,Very important,Somewhat important,Very important,Somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,Important,Somewhat important
Extremely important,Very important,Extremely important,Somewhat important,Very important,Very important,Extremely important,Very important,Extremely important,Extremely important,Important,Important
Very important,Not important,Somewhat important,Somewhat important,Important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important
Extremely important,Very important,Very important,Somewhat important,Important,Very important,Extremely important,Extremely important,Very important,Important,Extremely important,Somewhat important
Extremely important,Extremely important,Extremely important,Important,Important,Important,Extremely important,Extremely important,Important,Important,Not important,Not important
Very important,Very important,Very important,Somewhat important,Important,Somewhat important,Extremely important,Extremely important,Very important,Very important,Somewhat important,Somewhat important
Extremely important,Somewhat important,Important,Somewhat important,Important,Somewhat important,Very important,Very important,Very important,Extremely important,Not important,Somewhat important
Extremely important,Somewhat important,Important,Important,Important,Important,Important,Very important,Somewhat important,Not important,Somewhat important,Important
Extremely important,Extremely important,Extremely important,Extremely important,Important,Important,Very important,Very important,Very important,Important,Important,Important
Very important,Don't know/Unsure,Somewhat important,Not important,Important,Somewhat important,Very important,Very important,Very important,Somewhat important,Not important,Not important
Extremely important,Somewhat important,Very important,Somewhat important,Very important,Very important,Extremely important,Extremely important,Very important,Very important,Extremely important,Extremely important
Very important,Important,Important,Very important,Very important,Somewhat important,Extremely important,Extremely important,Very important,Somewhat important,Extremely important,Important
Extremely important,Somewhat important,Somewhat important,Not important,Important,Somewhat important,Very important,Very important,Very important,Somewhat important,Very important,Important
Extremely important,Somewhat important,Very important,Somewhat important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Somewhat important,Important
Extremely important,Not important,Extremely important,Somewhat important,Somewhat important,Somewhat important,Extremely important,Extremely important,Very important,Important,Not important,Extremely important
Extremely important,Very important,Very important,Important,Very important,Very important,Extremely important,Extremely important,Don't know/Unsure,Very important,Important,Important
Extremely important,Important,Extremely important,Important,Very important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important
Extremely important,Very important,Important,Important,Very important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Extremely important
Important,Somewhat important,Important,Somewhat important,Very important,Somewhat important,Very important,Extremely important,Very important,Very important,Very important,Important
Extremely important,Don't know/Unsure,Important,Somewhat important,Somewhat important,Somewhat important,Extremely important,Important,Important,Very important,Important,Somewhat important
Very important,Important,Important,Not important,Very important,Important,Extremely important,Extremely important,Extremely important,Important,Somewhat important,Somewhat important
Very important,Not important,Somewhat important,Not important,Important,Somewhat important,Extremely important,Extremely important,Very important,Important,Somewhat important,Somewhat important
Important,Very important,Very important,Somewhat important,Important,Don't know/Unsure,Extremely important,Very important,Important,Important,Very important,Important
Extremely important,Important,Extremely important,Extremely important,Important,Very important,Extremely important,Very important,Extremely important,Important,Very important,Extremely important
Very important,Very important,Very important,Very important,Very important,Very important,Extremely important,Very important,Very important,Important,Very important,Important
Somewhat important,Important,Extremely important,Somewhat important,Very important,Very important,Very important,Extremely important,Somewhat important,Very important,Very important,Very important
Extremely important,Don't know/Unsure,Very important,Don't know/Unsure,Don't know/Unsure,Very important,Very important,Very important,Very important,Very important,Very important,Very important
Extremely important,Don't know/Unsure,Extremely important,Not important,Extremely important,Important,Important,Important,Important,Important,Extremely important,Very important
Extremely important,Not important,Somewhat important,Not important,Not important,Important,Important,Somewhat important,Not important,Not important,Not important,Not important
Very important,Somewhat important,Important,Important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Very important,Important,Important
Extremely important,Not important,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Don't know/Unsure,Extremely important,Extremely important,Extremely important,Don't know/Unsure
Extremely important,Not important,Somewhat important,Not important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Not important,Not important
Very important,Important,Very important,Important,Extremely important,Very important,Extremely important,Extremely important,Very important,Very important,Very important,Somewhat important
Extremely important,Important,Very important,Very important,Very important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important
Extremely important,NA,Important,NA,Very important,NA,Extremely important,Extremely important,Extremely important,Important,Important,Important
Very important,Very important,Important,Somewhat important,Very important,Important,Extremely important,Extremely important,Extremely important,Somewhat important,Extremely important,Important
Important,Important,Very important,Somewhat important,Important,Somewhat important,Very important,Very important,Important,Somewhat important,Somewhat important,Somewhat important
Extremely important,Very important,Very important,Very important,Very important,Important,Extremely important,Extremely important,Extremely important,Very important,Important,Important
Extremely important,Extremely important,Important,Not important,Very important,Somewhat important,Extremely important,Very important,Extremely important,Extremely important,Not important,Somewhat important
Important,Somewhat important,Somewhat important,Somewhat important,Important,Somewhat important,Important,Important,Important,Somewhat important,Important,Somewhat important
Very important,Important,Important,Important,Extremely important,Somewhat important,Extremely important,Extremely important,Not important,Not important,Important,Important
Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Extremely important,Extremely important,Important,Very important
Extremely important,Somewhat important,Very important,Somewhat important,Very important,Very important,Extremely important,Extremely important,Important,Very important,Somewhat important,Somewhat important
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Extremely important,Somewhat important,Important,Not important,Somewhat important,Somewhat important,Somewhat important,Very important,Extremely important,Very important,Extremely important,Somewhat important
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important
Extremely important,Somewhat important,Somewhat important,Important,Important,Somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,Not important,Not important
Important,Not important,Somewhat important,Not important,Important,Somewhat important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Very important
Extremely important,Don't know/Unsure,Important,Somewhat important,Very important,Important,Extremely important,Extremely important,Don't know/Unsure,Very important,Important,Important
Extremely important,Extremely important,Very important,Somewhat important,Somewhat important,Very important,Extremely important,Extremely important,Extremely important,Important,Very important,Very important
Important,Somewhat important,Important,Extremely important,Important,Very important,Extremely important,Extremely important,Extremely important,Important,Extremely important,Important
Extremely important,Important,Important,Somewhat important,Very important,Important,Extremely important,Very important,Extremely important,Very important,Somewhat important,Somewhat important
