The atmosphere at SFS is very welcoming and inclusive,Diverse ideas and perspectives are heard and respected without fear of negative responses or reactions,I feel adequately supported by SFS in reporting incidents or problematic behaviors observed within the society,Diversity and inclusion resources are transparent and discoverable within the SFS ecosystem,The balance of volunteer and administrative work among SFS members is adequately and equally divided such that no one group or person is responsible for more than their fair share of work
Strongly agree,Strongly agree,Strongly agree,Agree,Agree
Don't know/NA,Don't know/NA,Neutral,Agree,Don't know/NA
Neutral,Neutral,Agree,Agree,Agree
Neutral,Neutral,Strongly agree,Neutral,Neutral
Agree,Agree,Agree,Don't know/NA,Don't know/NA
Strongly agree,Agree,Agree,Agree,Neutral
Agree,Somewhat disagree,Agree,Somewhat disagree,Neutral
Agree,Somewhat disagree,Don't know/NA,Agree,Don't know/NA
Neutral,Agree,Don't know/NA,Neutral,Somewhat disagree
Neutral,Agree,Don't know/NA,Agree,Don't know/NA
Strongly agree,Agree,Agree,Agree,Agree
Neutral,Neutral,Don't know/NA,Agree,Strongly disagree
Agree,Agree,Don't know/NA,Agree,Don't know/NA
Don't know/NA,Don't know/NA,Agree,Agree,Don't know/NA
Agree,Agree,Agree,Agree,Neutral
Neutral,Don't know/NA,Don't know/NA,Neutral,Don't know/NA
Strongly agree,Agree,Agree,Agree,Don't know/NA
Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA
Agree,Agree,Don't know/NA,Neutral,Don't know/NA
Agree,Agree,Agree,Agree,Agree
Strongly agree,Neutral,Somewhat disagree,Neutral,Neutral
Agree,Strongly agree,Agree,Neutral,Somewhat disagree
Agree,Agree,Agree,Agree,Agree
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Strongly agree,Agree,Agree,Strongly agree,Agree
Strongly agree,Strongly agree,Agree,Strongly agree,Agree
Agree,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA
Somewhat disagree,Somewhat disagree,Agree,Neutral,Neutral
Neutral,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree
Strongly agree,Strongly agree,Strongly agree,Agree,Neutral
Agree,Agree,Don't know/NA,Neutral,Somewhat disagree
Neutral,Neutral,Agree,Neutral,Don't know/NA
Agree,Agree,Agree,Agree,Neutral
Neutral,Agree,Don't know/NA,Agree,Agree
Strongly agree,Strongly agree,Agree,Agree,Neutral
Strongly agree,Strongly agree,Don't know/NA,Strongly agree,Agree
Agree,Agree,Don't know/NA,Agree,Agree
Strongly disagree,Somewhat disagree,Agree,Agree,Don't know/NA
Strongly agree,Agree,Don't know/NA,Don't know/NA,Agree
Agree,Agree,Agree,Agree,Neutral
Neutral,Neutral,Agree,Neutral,Agree
Strongly agree,Agree,Don't know/NA,Agree,Don't know/NA
